,lat,long,tipo
156,-34.596096505182,-58.4354064354036,bicicleta
157,-34.5891859132009,-58.4424383822345,bicicleta
158,-34.5876171147853,-58.4552112092487,bicicleta
159,-34.6303753807799,-58.3958490129872,bicicleta
160,-34.605488664949,-58.3646813208631,bicicleta
161,-34.6120760386945,-58.3803802298427,bicicleta
162,-34.5949751882826,-58.3722511651173,bicicleta
163,-34.5921712763202,-58.4025864239259,bicicleta
164,-34.6201020521277,-58.3741719253076,bicicleta
165,-34.6170206427367,-58.4026503042792,bicicleta
166,-34.6175100214518,-58.4092850875564,bicicleta
167,-34.601173754739,-58.4285074809885,bicicleta
168,-34.5805381653637,-58.4119623359704,bicicleta
169,-34.6402689367212,-58.3692202603994,bicicleta
170,-34.6041147130164,-58.3689074892767,bicicleta
171,-34.5921062117227,-58.3745377410695,bicicleta
172,-34.5984049359032,-58.3990127178167,bicicleta
173,-34.6033693772442,-58.3727588463583,bicicleta
174,-34.6122311916337,-58.4167773315577,bicicleta
175,-34.5972825090596,-58.3787816568915,bicicleta
176,-34.6155988819474,-58.367488011291,bicicleta
177,-34.6353610345817,-58.3876691036142,bicicleta
178,-34.6018750804349,-58.4060916410511,bicicleta
179,-34.6221129335563,-58.4078393595421,bicicleta
180,-34.6153277081039,-58.3813604943936,bicicleta
181,-34.6188407590045,-58.3557441485293,bicicleta
182,-34.6118156258636,-58.3612804225292,bicicleta
183,-34.6181657788322,-58.3596264980273,bicicleta
184,-34.6307780548633,-58.3620656908362,bicicleta
185,-34.6409632407722,-58.412558393615,bicicleta
186,-34.5775896201568,-58.4074667254456,bicicleta
187,-34.5927352811926,-58.445068518532,bicicleta
188,-34.6020785186272,-58.419673915093,bicicleta
189,-34.6089858629996,-58.4019211160656,bicicleta
190,-34.6095671542232,-58.4064281102522,bicicleta
191,-34.6181454429394,-58.3668978045589,bicicleta
192,-34.5970485629518,-58.4076112706017,bicicleta
193,-34.5891901539779,-58.3932473089703,bicicleta
194,-34.6069845890078,-58.4485390670682,bicicleta
195,-34.6186228839669,-58.3812234121407,bicicleta
196,-34.6032820435065,-58.399752283848,bicicleta
197,-34.6254273887697,-58.3710779328158,bicicleta
198,-34.5972256444129,-58.3917646038321,bicicleta
199,-34.6268523743372,-58.3807033489816,bicicleta
200,-34.6384803199403,-58.3642842393838,bicicleta
201,-34.5926653415415,-58.4120046244514,bicicleta
202,-34.5780478946813,-58.4352448992915,bicicleta
203,-34.6157004745814,-58.3899694601005,bicicleta
204,-34.6306143082771,-58.3913387244582,bicicleta
205,-34.6136365470013,-58.4064388398186,bicicleta
206,-34.5525703378785,-58.4508957761728,bicicleta
207,-34.6239242597693,-58.3904781403275,bicicleta
208,-34.5886893817981,-58.3852075664993,bicicleta
209,-34.5850765729451,-58.4111109325264,bicicleta
210,-34.6079314419364,-58.3808320193126,bicicleta
